corruption,severity,prompt,clean_top1,corrupted_top1,robustness_drop_top1,clean_top5,corrupted_top5,robustness_drop_top5
brightness,3,a painting of a {},0.622,0.596,0.026000000000000023,0.92,0.886,0.03400000000000003
brightness,1,a cropped image of a {},0.604,0.61,-0.006000000000000005,0.918,0.904,0.014000000000000012
brightness,3,a cropped image of a {},0.604,0.566,0.038000000000000034,0.918,0.88,0.038000000000000034
brightness,3,a high resolution image of a {},0.608,0.578,0.030000000000000027,0.924,0.88,0.04400000000000004
brightness,5,a high resolution image of a {},0.608,0.466,0.14199999999999996,0.924,0.792,0.132
brightness,5,a painting of a {},0.622,0.49,0.132,0.92,0.814,0.1060000000000001
brightness,5,a cropped image of a {},0.604,0.494,0.10999999999999999,0.918,0.822,0.09600000000000009
contrast,1,a painting of a {},0.622,0.608,0.014000000000000012,0.92,0.914,0.006000000000000005
contrast,1,a high resolution image of a {},0.608,0.61,-0.0020000000000000018,0.924,0.928,-0.0040000000000000036
contrast,1,a cropped image of a {},0.604,0.594,0.010000000000000009,0.918,0.92,-0.0020000000000000018
contrast,3,a painting of a {},0.622,0.584,0.038000000000000034,0.92,0.886,0.03400000000000003
contrast,3,a high resolution image of a {},0.608,0.602,0.006000000000000005,0.924,0.902,0.02200000000000002
contrast,3,a cropped image of a {},0.604,0.59,0.014000000000000012,0.918,0.904,0.014000000000000012
contrast,5,a painting of a {},0.622,0.596,0.026000000000000023,0.92,0.888,0.03200000000000003
contrast,5,a high resolution image of a {},0.608,0.592,0.016000000000000014,0.924,0.882,0.04200000000000004
contrast,5,a cropped image of a {},0.604,0.56,0.04399999999999993,0.918,0.882,0.03600000000000003
jpeg,1,a high resolution image of a {},0.608,0.616,-0.008000000000000007,0.924,0.918,0.006000000000000005
jpeg,1,a painting of a {},0.622,0.606,0.016000000000000014,0.92,0.908,0.01200000000000001
jpeg,3,a painting of a {},0.622,0.604,0.018000000000000016,0.92,0.91,0.010000000000000009
jpeg,1,a cropped image of a {},0.604,0.598,0.006000000000000005,0.918,0.916,0.0020000000000000018
jpeg,3,a cropped image of a {},0.604,0.588,0.016000000000000014,0.918,0.914,0.0040000000000000036
jpeg,3,a high resolution image of a {},0.608,0.62,-0.01200000000000001,0.924,0.916,0.008000000000000007
jpeg,5,a painting of a {},0.622,0.608,0.014000000000000012,0.92,0.908,0.01200000000000001
jpeg,5,a high resolution image of a {},0.608,0.614,-0.006000000000000005,0.924,0.918,0.006000000000000005
jpeg,5,a cropped image of a {},0.604,0.594,0.010000000000000009,0.918,0.914,0.0040000000000000036
